Time_number,Date,Agric,Food ,FabPr,Mach ,ElcEq,Autos,Guns ,Gold ,Mines,Coal 
1,01/07/1963,0.008563231,0.006478966,-0.003606496,0.007769737,0.005087039,0.00796817,0.008067371,-0.001901807,-0.005314095,0.014790085
2,02/07/1963,0.009554213,0.00548493,-0.003907625,0.005882663,0.00548493,0.001898197,0.015085637,-0.00040008,0.009851316,-0.000500125
3,03/07/1963,-0.000100005,0.000899595,0.019214219,0.002397125,0.005584378,0.004688989,0.006578315,0.006280238,0.003294567,0.003992021
4,05/07/1963,-0.001501126,-0.002803927,-0.010050336,-0.005012542,-0.006823225,-0.011465478,0.002297359,0.009157938,-0.012781334,-0.007629027
5,08/07/1963,-0.005113049,0.002097798,0.020292703,0.002197584,0.020194707,0.003493889,-0.003104815,-0.005414633,0.014888612,0.007472015
6,09/07/1963,0.008265744,-0.00250313,0.003095205,-0.003506139,-0.009040745,-0.00250313,-0.001100605,-0.001701447,0.001299156,-0.001901807
7,10/07/1963,0.014790085,-0.002803927,-0.006722546,0.001399021,0.001399021,-0.005917474,-0.01095984,0.001998003,-0.009545413,-0.002202424
8,11/07/1963,0.00079968,0.000699755,-0.015113638,-0.002302649,-0.007729798,-0.003405793,-0.004811557,0.005087039,-0.001400981,-0.016535969
9,12/07/1963,-0.016231013,-0.005314095,0.001199281,-0.009444459,-0.009141658,-0.010151351,0.002197584,0.000299955,-0.006823225,-0.008536331
10,15/07/1963,0.011137744,-0.00250313,0.003792798,-0.001701447,-0.003506139,0.001898197,-0.008132983,-0.001901807,-0.001400981,0.002596626
11,16/07/1963,0.003493889,-0.003807238,-0.00080032,-0.002904213,-0.008536331,-0.002202424,-0.00793137,-0.010151351,0.001498876,-0.002803927
12,17/07/1963,-0.01308524,-0.003004509,-0.008738066,-0.006621876,-0.006319929,-0.012376271,-0.010050336,-0.012477522,-0.007528266,-0.005414633
13,18/07/1963,0.009554213,-0.001400981,0.003194891,-0.005012542,-0.007024615,0.001998003,-0.007629027,0.00019998,-0.00040008,-0.005213567
14,19/07/1963,-0.003004509,-0.009545413,-0.016535969,-0.007629027,-0.010252376,-0.009646377,-0.010757657,-0.000100005,-0.006319929,0.00039992
15,22/07/1963,-0.011263192,0.000899595,-0.008435479,-0.00471108,-0.006420568,0.002397125,-0.013287894,-0.002703652,-0.001701447,0.02039069
16,23/07/1963,0.01350835,0.005584378,-0.010555514,0.002995509,0.010544214,0.009752291,-0.007326775,0.011038847,-0.004108428,0.000899595
17,24/07/1963,-0.001601281,0.001898197,0.007472015,0.001099395,-0.001601281,-0.004108428,0.003493889,0.005286004,-0.001701447,0.00079968
18,25/07/1963,0.000299955,-0.00040008,-0.003004509,-0.003205131,0.003892415,0.012718772,0,-0.0010005,0.01133551,-0.00250313
19,26/07/1963,0.00039992,0.001399021,-0.001601281,-0.001200721,-0.0010005,0.004390348,0.004390348,-0.0010005,0.002097798,0.005982072
20,29/07/1963,0.002197584,0.004987542,-0.000500125,0.006578315,0.004688989,0.020978406,0.004290781,0.002796087,-0.010454458,-0.000700245
21,30/07/1963,-0.004208845,0.003194891,-0.005716307,0.001399021,0.00079968,-0.005314095,-0.007226045,-0.000900405,-0.003907625,0.014593002
22,31/07/1963,-0.005816885,-0.00040008,0.004390348,-0.001100605,-0.006923915,-0.001901807,-0.006118681,0.013014937,9.9995E-05,-0.0010005
23,01/08/1963,0.003693172,0.006776984,0.014198719,0.002596626,0.003294567,0.003892415,0.008860628,-0.002703652,0.00249688,0.007273484
24,02/08/1963,0.002895803,0.00079968,-0.000700245,0.008166563,-0.000500125,0.004290781,-0.005716307,0.00059982,0.003294567,0.011928571
25,05/08/1963,0.001898197,0.007670506,-0.001200721,0.001598721,0.009653257,0.001798382,-0.002402885,-0.004208845,0.003792798,-0.004912044
26,06/08/1963,0.002397125,0.000499875,0.002696362,-0.002904213,0.009058844,-0.00793137,-0.006118681,0.013409687,0.000299955,-0.003706862
27,07/08/1963,-0.008637193,0,0.00059982,-0.00060018,-0.007427516,0.001998003,-0.004912044,0.00059982,0.006876304,0.007174204
28,08/08/1963,0.010148331,0.002596626,-0.017247893,0.005186527,0.003992021,0.009157938,-0.01349059,0.01212618,0.012718772,0.013014937
29,09/08/1963,0.004987542,0.001399021,0.013607003,0.006975614,0.00249688,0.001698557,0.00079968,0.002796087,0.001698557,0.011236632
30,12/08/1963,-0.00080032,0.002995509,0.002297359,0.002397125,0.00039992,0.001898197,0.009356095,-0.005515181,-0.007326775,0.001798382
31,13/08/1963,-0.006018072,0.00019998,0.00079968,-0.000100005,0.008563231,-0.000700245,0.013014937,-0.009545413,0.003493889,-0.001601281
32,14/08/1963,0.003394233,0.002596626,0.0009995,0.005584378,0.004987542,0.015873349,-0.006420568,0.004987542,-0.00020002,9.9995E-05
33,15/08/1963,0,0.008067371,-0.002703652,0.002097798,-0.007024615,0.00548493,0.002397125,-0.002603386,-0.001300846,0.001998003
34,16/08/1963,-0.017858518,-0.002002003,-0.011060947,-0.001801622,-0.003205131,-0.005515181,-0.000300045,-0.000100005,0.006280238,0.002895803
35,19/08/1963,-0.021121497,9.9995E-05,-0.004108428,0.000899595,0.002995509,-0.000300045,0.012521281,0.01222497,0.004888034,0.004191205
36,20/08/1963,0.007769737,-0.000700245,-0.003606496,0.000899595,-0.007830579,-0.007125325,0.014198719,-0.002803927,0.001099395,0.00608147
37,21/08/1963,0.001598721,0.00019998,0.007372754,0.004788517,0.007372754,0.01400152,0.002895803,-0.0062193,0.0009995,0.002596626
38,22/08/1963,0.005087039,0.003593536,-0.011263192,0.006975614,0.000699755,0.017643435,0.006876304,-0.003907625,-0.003606496,-0.002102208
39,23/08/1963,-0.003205131,0.001698557,0.009752291,0.00039992,-0.00060018,0.006876304,-0.003907625,-0.001501126,-0.001400981,0.005882663
40,26/08/1963,0.008265744,-0.002002003,-0.011971372,-0.003706862,-0.003004509,-0.007629027,0.001199281,-0.002002003,0.001199281,0.005584378
41,27/08/1963,0.001099395,0.004589452,0.002995509,0.007372754,0.004888034,0.009356095,-0.000900405,0.004390348,0.000899595,0.011730923
42,28/08/1963,0.002097798,0.003294567,0.000899595,0.001798382,0.019998687,-0.002302649,0.009157938,-0.002402885,0.003194891,0.0009995
43,29/08/1963,0.004987542,0.004390348,-0.012578782,0.00039992,0.008662373,0.009950331,0.011038847,0.003693172,0.004290781,-0.003205131
44,30/08/1963,0.006578315,0.00249688,0.024887716,0.002596626,0.009554213,0.004390348,-0.004309272,0.003194891,0.003294567,-0.00020002
45,03/09/1963,0.007273484,-0.002302649,-0.003305457,0.00019998,-0.002402885,0.000699755,0.010049336,-0.005012542,0.003892415,-0.00793137
46,04/09/1963,-0.009141658,0.002097798,0.014494446,0.0009995,0.003792798,0.004390348,-0.016231013,0.00548493,0.00079968,-0.002603386
47,05/09/1963,0.000899595,-0.002202424,-0.005917474,-0.002402885,-0.000300045,0.002197584,0.000499875,-0.001801622,-0.001601281,0.00608147
